time	plasma_radioactivity	whole_blood_radioactivity	whole_blood_11CO2	plasma_leucine
0.0	0.0	0.0	0.0	109.21
20.0	0.11655	0.02701	n/a	n/a
29.0	10.72223	2.18522	n/a	n/a
40.0	46.5867	31.05188	n/a	n/a
49.0	66.4039	54.797	n/a	n/a
59.5	82.6136	62.6336	n/a	109.21
69.0	96.6366	78.5066	n/a	n/a
79.0	103.3521	83.5978	n/a	n/a
87.5	115.3364	91.3678	n/a	n/a
96.0	122.7142	102.2236	n/a	n/a
106.0	136.9555	109.8678	n/a	n/a
116.0	141.1328	119.399	n/a	n/a
125.5	152.81	127.2874	0.75591	n/a
136.0	151.8517	129.4075	n/a	n/a
147.0	131.4536	119.7172	n/a	n/a
157.0	105.2169	93.9652	n/a	n/a
166.5	92.5703	79.7202	n/a	n/a
175.0	82.9799	71.7615	n/a	n/a
184.0	75.1285	66.2004	n/a	107.6
193.5	70.5479	62.1896	n/a	n/a
203.0	67.2438	58.6635	n/a	n/a
211.0	63.7991	55.6221	n/a	n/a
222.0	60.7947	53.6278	n/a	n/a
230.5	57.794	57.2316	n/a	n/a
241.0	55.9255	48.7623	1.00714	n/a
300.0	46.0539	39.2163	n/a	110.79
362.0	37.9213	33.44874	1.28612	n/a
480.0	31.86699	28.06302	1.49776	n/a
595.0	25.80417	23.05544	1.46261	110.31
726.5	21.69902	19.44905	1.4652	n/a
903.5	17.83178	16.54233	1.62652	n/a
1197.0	14.3523	13.17903	1.62208	110.83
1495.5	12.24441	11.47185	1.7168	n/a
1794.5	10.3415	10.14059	1.62615	113.3
2098.5	8.63987	9.82202	1.32423	n/a
2406.5	7.58315	9.57967	1.3468	109.3
2997.0	6.59784	9.731	0.78884	110.51
3603.5	5.57331	10.1565	1.09705	109.04
4193.5	4.7508	10.58977	1.02231	104.64
4805.5	4.01302	10.91537	0.95053	101.26
5414.0	3.4262	11.54733	0.8103	97.88
