time	plasma_radioactivity	whole_blood_radioactivity	whole_blood_11CO2	plasma_leucine
0.0	0.0	0.0	0.0	135.09
10.5	0.0037	0.00222	n/a	n/a
18.5	0.0	0.01221	n/a	n/a
28.5	0.01221	0.13061	n/a	n/a
39.0	7.4407	4.84478	n/a	n/a
48.0	29.83384	20.66709	n/a	n/a
57.0	42.3576	32.08751	n/a	n/a
66.0	44.4185	34.34784	n/a	n/a
77.0	51.1081	38.4319	n/a	n/a
87.0	61.0722	47.5857	n/a	n/a
95.5	62.9111	49.6355	n/a	n/a
105.0	67.2364	52.2255	n/a	n/a
113.5	83.472	67.7507	0.24383	n/a
124.0	102.0312	78.3253	n/a	n/a
133.0	107.1076	84.5154	n/a	n/a
143.0	110.8224	87.6345	n/a	n/a
152.0	111.0814	90.3725	n/a	n/a
162.5	121.0233	95.2602	n/a	n/a
171.0	130.2955	104.0921	n/a	n/a
181.0	118.1299	104.3178	n/a	135.09
189.0	115.8507	94.7015	n/a	n/a
199.0	104.5805	86.2026	n/a	n/a
208.5	94.1539	78.3993	n/a	n/a
218.0	88.1562	73.9593	n/a	n/a
228.5	79.5648	66.7665	0.68154	n/a
280.5	67.673	57.5239	n/a	142.78
360.5	48.5292	41.8581	1.15551	n/a
478.0	35.61028	30.93755	1.27132	n/a
596.5	29.1634	25.75977	1.4134	146.25
713.5	25.12226	22.3369	1.57287	n/a
900.0	19.56486	17.79293	1.61949	n/a
1212.0	15.17074	13.68556	1.61061	154.66
1494.0	12.29325	11.63354	1.49184	n/a
1824.5	10.66081	10.24937	1.49665	144.47
2104.5	9.79242	9.69955	1.45743	n/a
2412.5	8.67724	9.03207	1.47186	144.1
3009.5	7.38742	8.82006	1.31054	140.79
3622.5	6.37954	8.68427	1.27613	141.11
4189.5	5.476	8.6321	1.30536	136.36
4818.5	4.68753	8.52961	1.03008	138.32
5399.5	4.34121	9.04021	1.02675	136.29
